Source_Page,Link_Text,Broken_Page_Link,HTTP_Code,External
Unknown,,https://www.linkedin.com/company/nwbcgov/,DNSLookupError or other unhandled,True
https://nwbc.parkcircletech.com,,https://twitter.com/NWBC,400,True
https://nwbc.parkcircletech.com/faq/,Learning Center,https://learn.sba.gov/dashboard,403,True
Unknown,,https://www.linkedin.com/in/sarah-jane-glynn-7a511b30,DNSLookupError or other unhandled,True
https://nwbc.parkcircletech.com/event/june-2020-public-meeting/,FLEC,https://home.treasury.gov/policy-issues/consumer-policy/financial-literacy-and-education-commission,403,True
https://nwbc.parkcircletech.com/members-staff/karen-clark-cole/,Patricia Kathleen Talks with Female Entrepreneurs,https://blinkux.com/ideas/patricia-kathleen-podcast-interview,403,True
https://nwbc.parkcircletech.com/members-staff/karen-clark-cole/,Mind Your Business,https://blinkux.com/ideas/sirius-xms-business-radio-interview-1-1,403,True
https://nwbc.parkcircletech.com/event/may-2022-public-meeting/,WIPP,https://www.wipp.org/page/president,403,True
https://nwbc.parkcircletech.com/members-staff/karen-clark-cole/,leadership through chaos,https://www.geekwire.com/2020/longtime-ux-leader-karen-clark-cole-staying-present-learning-tell-good-fear-bad/,403,True
https://nwbc.parkcircletech.com/members-staff/karen-clark-cole/,commercial for MetLife,https://www.ispot.tv/ad/dSB3/metlife-small-business-benefits-spotlight-karen,403,True
https://nwbc.parkcircletech.com/resources/,Women Impacting Public Policy (WIPP),https://www.wipp.org/,403,True
https://nwbc.parkcircletech.com/event/february-2022-roundtable/,CDFI,https://www.cdfifund.gov/,503,True
https://nwbc.parkcircletech.com/members-staff/karen-clark-cole/,Girls Can Do,https://girls-can-do.org/impactoverview/,502,True
