Source_Page,Link_Text,Broken_Page_Link,HTTP_Code,External
https://www.gilmanscholarship.org/resources/parent-information/,FBI- Safety and Security for U.S. Students Traveling Abroad,https://www.fbi.gov/file-repository/student-travel-brochure-pdf.pdf/view,403,True
Unknown,,https://www.linkedin.com/in/shriyab1996/,DNSLookupError or other unhandled,True
Unknown,,https://www.linkedin.com/in/lamarshambley/,DNSLookupError or other unhandled,True
https://www.gilmanscholarship.org/podcast/a-gilman-story-a-path-to-a-career-at-the-united-nations-foundation-with-shriya-bhattacharya/,Twitter,https://twitter.com/shriyab_dc,400,True
Unknown,,http://www.linkedin.com/in/%C3%A1ngel-g-torres-gonz%C3%A1lez-745724126,DNSLookupError or other unhandled,True
Unknown,,https://www.linkedin.com/in/robin-abeles/,DNSLookupError or other unhandled,True
Unknown,,https://www.linkedin.com/in/chloerbates/,DNSLookupError or other unhandled,True
Unknown,,https://www.linkedin.com/in/abraham-%C3%A1lvarez-garc%C3%ADa-57115a127/,DNSLookupError or other unhandled,True
Unknown,,https://www.linkedin.com/in/mariana-zapata-3b10b775/,DNSLookupError or other unhandled,True
https://www.gilmanscholarship.org/podcast/can-the-planet-sustain-study-abroad-with-mariana-zapata/,Twitter,https://twitter.com/marianalzapata,400,True
Unknown,,https://www.linkedin.com/in/ifrahakhtar/,DNSLookupError or other unhandled,True
https://www.gilmanscholarship.org/2021/09/17/2022%e2%80%afgilman%e2%80%afclimate-leaders-virtual-seminar-series%e2%80%af/,,https://www.iie.org/-/media/Files/Corporate/Subawards-and-Procurements/Solicitations-for-goods-and-services/RFP---Gilman-Virtual-Climate-Speakers/Copy-of-Gilman-Climate-Leaders-Virtual-Sem-Series-BUDGET-TEMPLATE-(1).ashx?la=en&hash=B84CC34C00B9A5E26E19AE1DBE7D7A3B72DDF2CA,404,True
https://www.gilmanscholarship.org/2021/09/17/2022%e2%80%afgilman%e2%80%afclimate-leaders-virtual-seminar-series%e2%80%af/,,https://www.iie.org/-/media/Files/Corporate/Subawards-and-Procurements/Solicitations-for-goods-and-services/RFP---Gilman-Virtual-Climate-Speakers/RFP-Gilman-Virtual-Climate-Change-Speakers-Series-2022.ashx?la=en&hash=BC1AE1707BB54FCD61E88FC4665F4FBD5E7FBDA3,404,True
https://www.gilmanscholarship.org/2017/08/19/state-department-and-new-zealand/,"U.S. Ambassador to New Zealand, Scott Brown encourages American students to study abroad in New Zealand",https://twitter.com/ECAatState/status/900535555565531137,400,True
